,classified.subtype,classified.price,classified.land.surface,classified.bedroom.count,classified.atticExists,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool
961,exceptional property,649000,370,4,0,1,0
963,house,376700,436,3,0,1,0
964,villa,497650,762,4,0,1,0
965,house,1500000,10133,3,0,1,0
966,house,375000,1103,3,0,1,0
968,house,385000,642,4,0,0,0
969,house,315000,391,3,0,0,0
970,chalet,189000,4800,2,0,1,0
971,house,210000,250,1,0,0,0
972,house,1750000,25000,14,1,1,0
973,house,469000,1077,4,0,1,0
974,exceptional property,2950000,696,7,0,1,0
975,apartment block,450000,817,5,0,1,0
976,house,185000,120,5,0,1,0
977,house,1100000,132,6,0,1,0
978,villa,595000,1074,3,0,1,1
979,house,389000,305,3,0,1,0
980,apartment block,329000,829,12,0,0,0
982,house,109000,165,2,0,1,0
983,house,795000,1826,4,0,1,1
984,house,59000,67,3,0,0,0
985,house,169000,163,3,0,1,0
986,apartment block,275000,299,2,0,0,0
987,house,595000,936,5,0,0,0
988,country cottage,415000,6900,5,0,1,0
990,house,375000,4314,6,0,1,0
991,house,322000,1000,4,1,1,0
992,apartment block,369000,0,3,0,1,0
995,farmhouse,950000,78987,6,0,0,0
997,house,357000,0,3,0,0,0
998,house,365000,295,3,0,1,0
999,house,289000,354,4,1,0,0
1000,apartment block,440000,719,2,0,0,0
1001,house,274940,222,3,0,0,0
1002,house,140000,60,3,0,0,0
1003,house,595000,50,4,0,1,0
1005,exceptional property,2750000,15300,7,1,1,1
1007,house,349000,210,3,0,1,0
1008,house,219000,219,4,1,1,0
1009,apartment block,134900,60,4,1,0,0
1010,country cottage,1750000,11307,5,0,1,0
1011,house,150000,0,3,0,0,0
1012,apartment block,649000,720,0,0,0,0
1013,villa,4800000,10093,6,0,1,0
1014,house,180000,359,3,0,0,0
1016,house,230000,135,3,1,1,0
1017,house,749000,11446,4,0,1,0
1018,house,399000,0,4,0,1,0
1019,house,650000,3200,4,0,1,1
1020,apartment block,449000,113,7,0,1,0
1021,country cottage,199000,1247,2,0,0,0
