,House_Type,Price,Serface,No. of Bed-Room,AtticExists,TerraceExists,SwimmingPoolExists
640,house,160000.0,209.0,3.0,0,0,0
641,house,99900.0,210.0,4.0,1,0,0
642,chalet,199000.0,736.0,4.0,0,0,0
643,house,115000.0,182.0,2.0,0,1,0
645,castle,3950000.0,153030.0,14.0,1,1,0
647,house,695000.0,0.0,2.0,0,1,0
648,house,349000.0,1280.0,2.0,0,0,0
649,house,469000.0,0.0,3.0,0,1,0
651,mixed use building,245000.0,449.0,2.0,0,1,0
652,apartment block,1169000.0,195.0,8.0,0,1,0
653,apartment block,300000.0,623.0,1.0,0,0,0
656,apartment block,679000.0,264.0,5.0,0,0,0
658,apartment block,410000.0,422.0,4.0,0,0,0
660,house,679000.0,264.0,5.0,0,0,0
661,house,200000.0,0.0,4.0,0,0,0
662,house,398000.0,362.0,2.0,0,0,0
663,house,945000.0,146.0,4.0,1,1,0
664,house,115000.0,138.0,3.0,0,1,0
665,villa,620000.0,343.0,5.0,1,1,0
667,house,100000.0,0.0,3.0,0,0,0
669,house,287000.0,241.0,3.0,0,1,0
670,villa,1090000.0,6372.0,3.0,0,1,0
671,villa,1250000.0,2208.0,4.0,0,1,0
672,villa,520000.0,1148.0,4.0,0,1,0
673,house,275283.0,294.0,3.0,0,0,0
674,house,128000.0,111.0,3.0,0,1,0
676,castle,3950000.0,153030.0,14.0,1,1,0
678,castle,3950000.0,153030.0,14.0,1,1,0
680,house,510000.0,1538.0,3.0,1,1,0
681,house,245000.0,329.0,3.0,1,1,0
682,house,180000.0,387.0,3.0,0,0,0
683,apartment block,545000.0,0.0,5.0,0,0,0
687,house,219000.0,212.0,2.0,1,1,0
689,mansion,1090000.0,0.0,3.0,0,1,0
691,house,235000.0,0.0,5.0,0,0,0
693,house,95000.0,89.0,2.0,0,1,0
694,house,109000.0,230.0,2.0,0,1,0
696,house,245000.0,597.0,3.0,0,1,0
697,house,145000.0,247.0,2.0,1,1,0
698,house,255000.0,240.0,3.0,1,1,0
699,exceptional property,2350000.0,170.0,5.0,0,1,0
700,exceptional property,720000.0,1000.0,4.0,1,1,0
701,house,426454.0,250.0,3.0,0,0,0
702,apartment block,800000.0,87.0,5.0,0,1,0
704,house,595000.0,1130.0,5.0,1,0,0
705,villa,1650000.0,838.0,4.0,1,1,0
706,apartment block,600000.0,0.0,3.0,0,1,0
708,apartment block,610000.0,1020.0,9.0,0,0,0
710,exceptional property,2450000.0,3000.0,8.0,1,1,1
712,house,330000.0,3390.0,3.0,0,1,1
713,villa,1775000.0,350.0,8.0,0,1,0
714,town house,495000.0,245.0,6.0,0,1,0
715,house,420000.0,0.0,4.0,0,0,0
716,house,299900.0,514.0,3.0,0,1,0
